YEAR,LocationDesc,StateCode,Lung Cancer Patients Count
2011,Alabama,AL,4240
2011,Alaska,AK,380
2011,Arizona,AZ,3820
2011,Arkansas,AR,2660
2011,California,CA,17660
2011,Colorado,CO,2250
2011,Connecticut,CT,2680
2011,Delaware,DE,780
2011,Florida,FL,17150
2011,Georgia,GA,6410
2011,Hawaii,HI,780
2011,Idaho,ID,870
2011,Illinois,IL,9210
2011,Indiana,IN,5520
2011,Iowa,IA,2480
2011,Kansas,KS,1990
2011,Kentucky,KY,4860
2011,Louisiana,LA,3630
2011,Maine,ME,1400
2011,Maryland,MD,3960
2011,Massachusetts,MA,4970
2011,Michigan,MI,8140
2011,Minnesota,MN,3340
2011,Mississippi,MS,2430
2011,Missouri,MO,5470
2011,Montana,MT,750
2011,Nebraska,NE,1270
2011,Nevada,NV,1510
2011,New Hampshire,NH,1110
2011,New Jersey,NJ,6210
2011,New Mexico,NM,980
2011,New York,NY,14200
2011,North Carolina,NC,7300
2011,North Dakota,ND,420
2011,Ohio,OH,10060
2011,Oklahoma,OK,3270
2011,Oregon,OR,2860
2011,Pennsylvania,PA,10900
2011,Rhode Island,RI,880
2011,South Carolina,SD,3900
2011,South Dakota,SD,580
2011,Tennessee,TN,5870
2011,Texas,TX,13880
2011,Utah,UT,630
2011,Vermont,VT,360
2011,Virginia,VA,400
2011,Washington,WA,3090
2011,West Virginia,WV,1480
2011,Wisconsin,WI,2940
2011,Wyoming,WY,260
2012,Alabama,AL,1090
2012,Alaska,AK,70
2012,Arizona,AZ,1650
2012,Arkansas,AR,570
2012,California,CA,9250
2012,Colorado,CO,1470
2012,Connecticut,CT,1290
2012,Delaware,DE,280
2012,Florida,FL,5450
2012,Georgia,GA,2150
2012,Hawaii,HI,280
2012,Idaho,ID,400
2012,Illinois,IL,2460
2012,Indiana,IN,1450
2012,Iowa,IA,850
2012,Kansas,KS,610
2012,Kentucky,KY,1370
2012,Louisiana,LA,810
2012,Maine,ME,480
2012,Maryland,MD,1420
2012,Massachusetts,MA,2190
2012,Michigan,MI,2700
2012,Minnesota,MN,1130
2012,Mississippi,MS,510
2012,Missouri,MO,1280
2012,Montana,MT,320
2012,Nebraska,NE,380
2012,Nevada,NV,510
2012,New Hampshire,NH,1130
2012,New Jersey,NJ,5990
2012,New Mexico,NM,1090
2012,New York,NY,13620
2012,North Carolina,NC,7950
2012,North Dakota,ND,460
2012,Ohio,OH,3030
2012,Oklahoma,OK,750
2012,Oregon,OR,1290
2012,Pennsylvania,PA,3470
2012,Rhode Island,RI,860
2012,South Carolina,SD,4270
2012,South Dakota,SD,620
2012,Tennessee,TN,1640
2012,Texas,TX,4020
2012,Utah,UT,780
2012,Vermont,VT,220
2012,Virginia,VA,2150
2012,Washington,WA,2140
2012,West Virginia,WV,2070
2012,Wisconsin,WI,1370
2012,Wyoming,WY,150
2013,Alabama,AL,1300
2013,Alaska,AK,90
2013,Arizona,AZ,1400
2013,Arkansas,AR,530
2013,California,CA,8530
2013,Colorado,CO,1310
2013,Connecticut,CT,1080
2013,Delaware,DE,300
2013,Florida,FL,5330
2013,Georgia,GA,2360
2013,Hawaii,HI,380
2013,Idaho,ID,420
2013,Illinois,IL,2480
2013,Indiana,IN,1470
2013,Iowa,IA,980
2013,Kansas,KS,800
2013,Kentucky,KY,1540
2013,Louisiana,LA,770
2013,Maine,ME,440
2013,Maryland,MD,1530
2013,Massachusetts,MA,1840
2013,Michigan,MI,2900
2013,Minnesota,MN,1020
2013,Mississippi,MS,550
2013,Missouri,MO,1500
2013,Montana,MT,250
2013,Nebraska,NE,460
2013,Nevada,NV,440
2013,New Hampshire,NH,1150
2013,New Jersey,NJ,5960
2013,New Mexico,NM,1050
2013,New York,NY,13480
2013,North Carolina,NC,8040
2013,North Dakota,ND,460
2013,Ohio,OH,2960
2013,Oklahoma,OK,770
2013,Oregon,OR,1410
2013,Pennsylvania,PA,3890
2013,Rhode Island,RI,870
2013,South Carolina,SD,4390
2013,South Dakota,SD,620
2013,Tennessee,TN,1900
2013,Texas,TX,3930
2013,Utah,UT,720
2013,Vermont,VT,220
2013,Virginia,VA,2380
2013,Washington,WA,2350
2013,West Virginia,WV,2100
2013,Wisconsin,WI,1250
2013,Wyoming,WY,130
2014,Alabama,AL,4160
2014,Alaska,AK,430
2014,Arizona,AZ,4280
2014,Arkansas,AR,2660
2014,California,CA,18780
2014,Colorado,CO,2540
2014,Connecticut,CT,2730
2014,Delaware,DE,790
2014,Florida,FL,17960
2014,Georgia,GA,6540
2014,Hawaii,HI,890
2014,Idaho,ID,960
2014,Illinois,IL,9100
2014,Indiana,IN,5540
2014,Iowa,IA,2330
2014,Kansas,KS,1900
2014,Kentucky,KY,4690
2014,Louisiana,LA,3470
2014,Maine,ME,1400
2014,Maryland,MD,3990
2014,Massachusetts,MA,4930
2014,Michigan,MI,8090
2014,Minnesota,MN,3070
2014,Mississippi,MS,2420
2014,Missouri,MO,5370
2014,Montana,MT,760
2014,Nebraska,NE,1220
2014,Nevada,NV,2040
2014,New Hampshire,NH,250
2014,New Jersey,NJ,1560
2014,New Mexico,NM,370
2014,New York,NY,3460
2014,North Carolina,NC,1550
2014,North Dakota,ND,130
2014,Ohio,OH,9760
2014,Oklahoma,OK,3320
2014,Oregon,OR,2950
2014,Pennsylvania,PA,10290
2014,Rhode Island,RI,180
2014,South Carolina,SD,790
2014,South Dakota,SD,160
2014,Tennessee,TN,5980
2014,Texas,TX,14890
2014,Utah,UT,650
2014,Vermont,VT,550
2014,Virginia,VA,5580
2014,Washington,WA,4630
2014,West Virginia,WV,330
2014,Wisconsin,WI,4020
2014,Wyoming,WY,330
2015,Alabama,AL,4150
2015,Alaska,AK,420
2015,Arizona,AZ,3740
2015,Arkansas,AR,2620
2015,California,CA,18430
2015,Colorado,CO,2560
2015,Connecticut,CT,2870
2015,Delaware,DE,860
2015,Florida,FL,16810
2015,Georgia,GA,6460
2015,Hawaii,HI,890
2015,Idaho,ID,910
2015,Illinois,IL,8920
2015,Indiana,IN,5510
2015,Iowa,IA,2440
2015,Kansas,KS,1930
2015,Kentucky,KY,4680
2015,Louisiana,LA,3380
2015,Maine,ME,1360
2015,Maryland,MD,3980
2015,Massachusetts,MA,5150
2015,Michigan,MI,8350
2015,Minnesota,MN,3250
2015,Mississippi,MS,2340
2015,Missouri,MO,5380
2015,Montana,MT,760
2015,Nebraska,NE,1200
2015,Nevada,NV,1770
2015,New Hampshire,NH,260
2015,New Jersey,NJ,1610
2015,New Mexico,NM,360
2015,New York,NY,3630
2015,North Carolina,NC,1660
2015,North Dakota,ND,140
2015,Ohio,OH,10000
2015,Oklahoma,OK,3220
2015,Oregon,OR,2830
2015,Pennsylvania,PA,10540
2015,Rhode Island,RI,180
2015,South Carolina,SD,820
2015,South Dakota,SD,170
2015,Tennessee,TN,6200
2015,Texas,TX,13650
2015,Utah,UT,660
2015,Vermont,VT,570
2015,Virginia,VA,5740
2015,Washington,WA,4790
2015,West Virginia,WV,380
2015,Wisconsin,WI,4370
2015,Wyoming,WY,320
2016,Alabama,AL,4220
2016,Alaska,AK,440
2016,Arizona,AZ,3980
2016,Arkansas,AR,2610
2016,California,CA,18140
2016,Colorado,CO,2520
2016,Connecticut,CT,2770
2016,Delaware,DE,850
2016,Florida,FL,17360
2016,Georgia,GA,6670
2016,Hawaii,HI,740
2016,Idaho,ID,990
2016,Illinois,IL,8820
2016,Indiana,IN,5520
2016,Iowa,IA,2420
2016,Kansas,KS,1970
2016,Kentucky,KY,4960
2016,Louisiana,LA,3730
2016,Maine,ME,1410
2016,Maryland,MD,4100
2016,Massachusetts,MA,4910
2016,Michigan,MI,8440
2016,Minnesota,MN,3660
2016,Mississippi,MS,2550
2016,Missouri,MO,5450
2016,Montana,MT,750
2016,Nebraska,NE,1220
2016,Nevada,NV,1700
2016,New Hampshire,NH,290
2016,New Jersey,NJ,1870
2016,New Mexico,NM,380
2016,New York,NY,4490
2016,North Carolina,NC,1870
2016,North Dakota,ND,150
2016,Ohio,OH,10550
2016,Oklahoma,OK,3150
2016,Oregon,OR,2970
2016,Pennsylvania,PA,10500
2016,Rhode Island,RI,210
2016,South Carolina,SD,920
2016,South Dakota,SD,180
2016,Tennessee,TN,6010
2016,Texas,TX,14620
2016,Utah,UT,890
2016,Vermont,VT,510
2016,Virginia,VA,5690
2016,Washington,WA,4670
2016,West Virginia,WV,410
2016,Wisconsin,WI,4230
2016,Wyoming,WY,310
